,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Ability,appr,bala,bluf,clim,conc,craf,deci,dipl,disa,disg,esca,forg,gath,hand,heal,hide,inti,jump,know,list,move,open,perf,prof,ride,sear,sens,slei,spel,spot,surv,swim,tumb,usem,user
Bbn,n,n,n,x,n,x,n,n,n,n,n,n,n,x,n,n,x,x,n,x,n,n,n,n,x,n,n,n,n,n,x,x,n,n,n
Brd,x,x,x,x,x,x,x,x,n,x,x,x,x,n,n,x,n,x,x,x,x,n,x,x,n,n,x,x,x,n,n,x,x,x,n
Clr,n,n,n,n,x,x,n,x,n,n,n,n,n,n,x,n,n,n,x,n,n,n,n,x,n,n,n,n,x,n,n,n,n,n,n
Drd,n,n,n,n,x,x,n,x,n,n,n,n,n,x,x,n,n,n,x,n,n,n,n,x,x,n,n,n,x,x,x,x,n,n,n
Ftr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mnk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pal,n,n,n,n,x,x,n,x,n,n,n,n,n,x,x,n,n,n,x,n,n,n,n,x,x,n,x,n,n,n,n,n,n,n,n
Rgr,n,n,n,x,x,x,n,x,n,n,n,n,n,x,x,x,n,x,x,x,x,n,n,x,x,x,n,n,n,x,x,x,n,n,x
Rog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
